"t (s)","Inclination (deg)","Rotation (deg)"
6.487845833E-2,8.582118235E-1,-5.952863234E1
5.669837083E-1,8.735295925E-1,-5.255513449E1
1.069085708E0,7.869955842E-1,-5.419332991E1
2.073288833E0,8.392135256E-1,-5.068996385E1
2.575388958E0,9.325192718E-1,-5.641266557E1
3.077486958E0,8.472148333E-1,-4.693243393E1
3.579584375E0,8.078501800E-1,-5.336211724E1
4.081678375E0,8.120901901E-1,-5.322723433E1
4.583773458E0,8.464343525E-1,-5.385267151E1
5.085864458E0,8.467121046E-1,-5.230366630E1
5.587955500E0,8.053893159E-1,-5.439116504E1
6.090044500E0,7.680767476E-1,-5.255267284E1
6.592131833E0,8.466487477E-1,-5.160397423E1
7.094216833E0,8.875740058E-1,-5.347445051E1
7.596302208E0,8.415957562E-1,-5.243855431E1
8.600466833E0,8.023521021E-1,-5.223281637E1
9.102566833E0,8.305720866E-1,-5.372381975E1
9.604849500E0,8.530567215E-1,-5.597346783E1
1.010711150E1,8.633303915E-1,-5.387193852E1
1.060938121E1,8.432684557E-1,-5.008966986E1
1.111169221E1,8.125893432E-1,-4.933296151E1
1.161399458E1,8.477458492E-1,-5.311848520E1
1.211556758E1,3.570803140E0,-1.169411399E2
1.261763950E1,3.403409851E0,-3.681477548E0
1.311971150E1,8.623686562E0,-2.904285743E0
1.362178196E1,1.959111286E1,-3.157694990E0
1.412385196E1,2.557757848E1,-2.048294617E0
1.462592037E1,3.744305118E1,-1.100728948E0
1.512798837E1,3.879461378E1,-4.925017337E-1
1.563005412E1,4.421695483E1,-8.444867910E-1
1.663418496E1,5.570860739E1,-1.888061376E0
1.713624896E1,6.142519915E1,7.782356296E-1
1.763831075E1,6.774782872E1,-6.280627256E-1
1.814037375E1,7.876515610E1,-3.190641504E-1
1.864243508E1,8.078106948E1,-5.080454897E-1
1.914449608E1,8.109669636E1,-4.706857686E-1
1.964655558E1,8.135376309E1,-4.311658613E-1
2.014861558E1,8.144758357E1,-4.073677362E-1
2.065067521E1,8.160070762E1,-3.705900116E-1
2.115273521E1,8.267472894E1,-5.656301793E-1
2.215685087E1,8.214252093E1,-3.723718798E-1
2.265890808E1,8.210088519E1,-4.019762564E-1
2.316096608E1,8.224380779E1,-3.703162770E-1
2.366302025E1,8.225835764E1,-4.003487688E-1
2.416507725E1,8.032998677E1,-2.964631673E-1
2.466713158E1,7.653585765E1,-1.193037304E0
2.516918758E1,5.484264863E1,-3.603329261E-1
2.567124121E1,4.845617875E1,-1.371797892E0
2.617329521E1,3.456603621E1,-9.711776801E-1
2.667534837E1,2.115428736E1,-2.194906817E0
2.717740238E1,1.280649774E1,-3.729682237E0
2.818150408E1,3.561718127E0,-4.992939565E1
2.868355596E1,8.477498647E-1,-5.101330970E1
2.918560696E1,8.515840744E-1,-5.239959466E1
2.968765671E1,8.308344937E-1,-4.962415133E1
3.018970671E1,8.398128295E-1,-4.716107949E1
3.069175487E1,8.423604581E-1,-4.906788729E1
3.119380387E1,8.339718582E-1,-5.090614111E1
3.169585075E1,8.853326252E-1,-5.378813279E1
3.219789875E1,8.969583246E-1,1.374053193E2
3.269994546E1,4.448566570E-1,6.622148239E1
3.320199246E1,6.977934135E-1,-5.478240703E1
3.370403758E1,7.266071762E-1,9.746935799E1
3.470812638E1,2.917057439E-1,-1.045709337E2
3.521017137E1,4.960549731E-1,1.391507199E2
3.571221458E1,1.538614604E-1,-1.548670450E2
3.621425758E1,1.084361077E0,-5.601934997E1
3.671630008E1,1.432677032E-1,-3.273522627E1
3.721834308E1,6.084253788E-2,-2.511483488E1
3.772038471E1,7.669341602E-2,-4.500000000E1
3.822242671E1,7.575250727E-2,-3.387081071E1
3.872446725E1,1.118135734E-1,-7.799770510E1
3.922650825E1,1.292275677E-1,-4.391907581E1
3.972854746E1,9.784579346E-2,-3.999935540E1
4.023058746E1,1.226203175E0,-9.967425800E1
4.073262571E1,3.811315499E-1,1.864030916E1
4.123466571E1,2.726864664E0,-1.225178305E1
4.173670346E1,2.351652472E-1,4.247169881E1
4.223874246E1,1.454049928E0,4.480805506E1
4.274077821E1,1.826561684E0,-1.215206395E2
4.324281621E1,2.659331756E-1,5.145635130E1
4.374485371E1,3.350063309E0,-5.321587441E1
4.424689171E1,6.318659616E-1,2.922155821E1
4.525096496E1,6.876349428E-1,3.915304872E1