Accelerometer Z,Smoothed Acc Z,Intensity,
9.80818,9.82152,0.20112291,
9.80818,9.82152,,
9.80818,9.82152,,
9.606585,9.82152,,
10.132407,9.82152,,
9.641879,9.82152,,
9.821341,9.82152,,
9.976275,9.82152,,
9.578469,9.82152,,
10.085149,9.82152,,
9.675977,9.820653,,
9.74477,9.812965,,
10.009775,9.8282795,,
9.592826,9.8281,,
10.079765,9.819964,,
9.733404,9.830493,,
9.673584,9.8181095,,
10.061819,9.823793,,
9.579067,9.824362,,
10.012766,9.813803,,
9.7908325,9.825499,,
9.654441,9.819546,,
10.114461,9.825917,,
9.602996,9.827203,,
9.969695,9.813086,,
9.8524475,9.822866,,
9.573684,9.817153,,
10.089935,9.817572,,
9.589835,9.824302,,
9.873982,9.812338,,
9.909875,9.82472,,
9.625728,9.820234,,
10.137193,9.815628,,
9.618548,9.820234,,
9.797412,9.805189,,
9.929018,9.816136,,
9.559326,9.817362,,
10.070194,9.813504,,
9.713663,9.822597,,
9.773484,9.810184,,
10.038489,9.818499,,
9.564711,9.815957,,
10.022338,9.80495,,
9.695119,9.8161955,,
9.668798,9.80809,,
10.07139,9.81805,,
9.598209,9.820742,,
10.012766,9.810453,,
9.771689,9.819546,,
9.625728,9.810274,,
10.076176,9.814521,,
9.57488,9.819337,,
9.917053,9.808808,,
9.843474,9.822626,,
9.635299,9.817392,,
10.12822,9.817841,,
9.613165,9.821969,,
9.864411,9.808808,,
9.895518,9.822388,,
9.58804,9.820055,,
10.123434,9.819037,,
9.661021,9.826963,,
9.8117695,9.81455,,
9.97149,9.826426,,
9.564112,9.824331,,
10.080363,9.817602,,
9.680762,9.826486,,
9.749556,9.815029,,
10.043275,9.825707,,
9.579067,9.826006,,
10.055838,9.8159275,,
9.733404,9.827413,,
9.668798,9.817871,,
10.080962,9.826186,,
9.593424,9.828878,,
9.993624,9.81808,,
9.7908325,9.830254,,
9.635299,9.822417,,
10.109077,9.826426,,
9.594023,9.828878,,
9.921839,9.815,,
9.890733,9.828579,,
9.620942,9.825258,,
10.137792,9.825229,,
9.61795,9.828878,,
9.864411,9.815987,,
9.924232,9.828817,,
9.592826,9.826006,,
10.123434,9.823105,,
9.62812,9.830553,,
9.77827,9.818619,,
10.00499,9.827651,,
9.602397,9.825319,,
10.080363,9.81835,,
9.666406,9.82819,,
9.735797,9.817452,,
10.047462,9.828131,,
9.579067,9.828429,,
10.051051,9.8181095,,
9.742975,9.829805,,
9.683155,9.820982,,
10.07139,9.827143,,
9.574282,9.827921,,
9.998409,9.816645,,
9.81476,9.829058,,
9.649655,9.82143,,
10.137792,9.825678,,
9.598808,9.829087,,
9.917053,9.815239,,
9.862019,9.827383,,
9.601799,9.82167,,
10.12822,9.822119,,
9.61795,9.827442,,
9.85484,9.813803,,
9.91466,9.824751,,
9.583255,9.820982,,
10.132407,9.816645,,
9.647263,9.824092,,
9.774082,9.810962,,
9.985847,9.822148,,
9.568898,9.822447,,
10.080363,9.815718,,
9.680762,9.825319,,
9.725628,9.814581,,
10.033704,9.825737,,
9.574282,9.826994,,
10.051051,9.816465,,
9.747761,9.827204,,
9.654441,9.818379,,
10.085748,9.82502,,
9.607781,9.827472,,
9.993624,9.815957,,
9.809975,9.827652,,
9.640084,9.821251,,
10.137792,9.825947,,
9.608379,9.829596,,
9.921839,9.815957,,
9.862019,9.827861,,
9.597611,9.824541,,
10.118649,9.824481,,
9.61795,9.829087,,
9.850055,9.815687,,
9.91466,9.827084,,
9.597611,9.823315,,
10.127622,9.818259,,
9.647263,9.825947,,
9.77827,9.814013,,
9.985847,9.825438,,
9.58804,9.824511,,
10.084551,9.817063,,
9.699904,9.826186,,
9.725628,9.815448,,
10.037891,9.825647,,
9.564711,9.826186,,
10.036695,9.815418,,
9.762118,9.826156,,
9.683155,9.817094,,
10.090533,9.823015,,
9.579067,9.824511,,
9.969695,9.81159,,
9.800404,9.822567,,
9.635299,9.815687,,
10.118649,9.819487,,
9.608379,9.823135,,
9.912268,9.809526,,
9.862019,9.821191,,
9.597013,9.815718,,
10.104292,9.815179,,
9.61795,9.821221,,
9.826126,9.808808,,
9.919446,9.820951,,
9.58804,9.817423,,
10.113863,9.812607,,
9.6376915,9.820055,,
9.764511,9.80812,,
9.995419,9.819067,,
9.573684,9.817244,,
10.079765,9.810752,,
9.699904,9.819635,,
9.72144,9.808898,,
10.043275,9.818619,,
9.564711,9.8184395,,
10.022338,9.807881,,
9.757333,9.819576,,
9.673584,9.811201,,
10.080962,9.817602,,
9.560523,9.819575,,
9.974482,9.80809,,
9.795618,9.8200245,,
9.61137,9.813115,,
10.113863,9.817094,,
9.584451,9.821939,,
9.902697,9.809018,,
9.87159,9.821401,,
9.597013,9.816405,,
10.123434,9.816345,,
9.613165,9.823075,,
9.850055,9.809945,,
9.938589,9.824451,,
9.583255,9.823315,,
10.122836,9.818739,,
9.661619,9.827143,,
9.763913,9.814491,,
10.00499,9.825199,,
9.573684,9.824541,,
10.079765,9.8168545,,
9.695119,9.827383,,
9.711869,9.8159275,,
10.085748,9.82493,,
9.588638,9.826426,,
10.022338,9.816136,,
9.752547,9.82807,,
9.649655,9.819994,,
10.085748,9.82496,,
9.583853,9.828131,,
9.969695,9.815687,,
9.823733,9.827621,,
9.620942,9.820234,,
10.118649,9.821849,,
9.613165,9.82502,,
9.917053,9.811411,,
9.900304,9.824271,,
9.602397,9.820712,,
10.104292,9.820653,,
9.637094,9.827652,,
9.830912,9.814521,,
9.933804,9.826426,,
9.564112,9.823614,,
10.118051,9.819994,,
9.652048,9.827442,,
9.7501545,9.813594,,
10.009775,9.822388,,
9.578469,9.82146,,
10.084551,9.814252,,
9.723833,9.822417,,
9.707084,9.811918,,
10.061819,9.820204,,
9.564711,9.821221,,
10.046266,9.810214,,
9.762118,9.82167,,
9.640084,9.813773,,
10.076176,9.819456,,
9.583853,9.821909,,
9.960124,9.808988,,
9.800404,9.819246,,
9.620942,9.813055,,
10.099506,9.816107,,
9.584451,9.821909,,
9.897911,9.808299,,
9.881161,9.820683,,
9.592228,9.816884,,
10.123434,9.816824,,
9.6275215,9.823105,,
9.826126,9.809735,,
9.929018,9.822805,,
9.583255,9.820234,,
10.122836,9.816376,,
9.680762,9.825737,,
9.774082,9.813325,,
10.009775,9.824511,,
9.564112,9.823883,,
10.07498,9.81476,,
9.709476,9.825049,,
9.692726,9.815987,,
10.061819,9.825707,,
9.569496,9.826724,,
10.022338,9.81476,,
9.771689,9.825499,,
9.649655,9.817153,,
10.10489,9.822597,,
9.579665,9.826036,,
9.940982,9.813594,,
9.833304,9.826006,,
9.64487,9.820293,,
10.123434,9.821909,,
9.603594,9.826276,,
9.8835535,9.812876,,
9.895518,9.824989,,
9.6071825,9.820951,,
10.118649,9.818977,,
9.632906,9.824989,,
9.826126,9.811859,,
9.957731,9.8235235,,
9.578469,9.819994,,
10.094122,9.8149395,,
9.656834,9.823584,,
9.754341,9.811649,,
10.013963,9.822119,,
9.568898,9.820264,,
10.065409,9.810931,,
9.699904,9.820503,,
9.6783695,9.809765,,
10.066605,9.817572,,
9.574282,9.81835,,
10.022338,9.807582,,
9.776475,9.818798,,
9.64487,9.811411,,
10.10489,9.816884,,
9.570094,9.820085,,
9.932009,9.806924,,
9.824331,9.820503,,
9.61137,9.815508,,
10.113863,9.817602,,
9.594023,9.823614,,
9.878768,9.809257,,
9.881161,9.822088,,
9.606585,9.8187685,,
10.123434,9.816316,,
9.632906,9.8235235,,
9.802198,9.81156,,
9.97149,9.824631,,
9.578469,9.822776,,
10.1084795,9.816764,,
9.694521,9.825408,,
9.735199,9.812757,,
10.033105,9.823704,,
9.578469,9.822806,,
10.055838,9.814162,,
9.714262,9.823942,,
9.692726,9.814641,,
10.085748,9.821999,,
9.574282,9.822776,,
9.993624,9.810812,,
9.766904,9.821819,,
9.625728,9.814222,,
10.100104,9.81823,,
9.588638,9.821401,,
9.950553,9.809436,,
9.828519,9.822058,,
9.616156,9.815628,,
10.118649,9.815807,,
9.594023,9.820414,,
9.869197,9.807522,,
9.91466,9.820593,,
9.583255,9.817991,,
10.113265,9.815538,,
9.641879,9.821819,,
9.816555,9.808928,,
9.966704,9.82155,,
9.564112,9.819935,,
10.089336,9.814879,,
9.666406,9.824003,,
9.735797,9.812068,,
10.028319,9.821072,,
9.573684,9.821819,,
10.051051,9.812965,,
9.714262,9.823256,,
9.692726,9.813475,,
10.080962,9.82155,,
9.583853,9.824003,,
10.017552,9.813234,,
9.776475,9.826605,,
9.630513,9.81826,,
10.094721,9.822776,,
9.598209,9.826665,,
9.936196,9.814462,,
9.847662,9.827562,,
9.620942,9.821371,,
10.12822,9.822508,,
9.613165,9.827113,,
9.873982,9.813025,,
9.933804,9.82493,,
9.568898,9.821371,,
10.118649,9.820144,,
9.65145,9.826426,,
9.806984,9.813534,,
9.976275,9.82496,,
9.568898,9.822388,,
10.103694,9.815418,,
9.675977,9.824062,,
9.735797,9.812367,,
10.014561,9.8216095,,
9.559326,9.822148,,
10.070194,9.812786,,
9.723833,9.821401,,
9.6783695,9.812098,,
10.076176,9.820623,,
9.569496,9.822836,,
9.988838,9.811111,,
9.786046,9.822088,,
9.640084,9.814462,,
10.118649,9.819905,,
9.579665,9.823584,,
9.931411,9.810663,,
9.823733,9.823046,,
9.620942,9.8168545,,
10.146765,9.817751,,
9.613165,9.823315,,
9.869197,9.809466,,
9.895518,9.822328,,
9.583255,9.819516,,
10.123434,9.81518,,
9.632906,9.822866,,
9.8117695,9.809975,,
9.97149,9.823315,,
9.554541,9.820503,,
10.094122,9.812128,,
9.680762,9.820772,,
9.711869,9.809317,,
10.043275,9.819516,,
9.583853,9.820293,,
10.031909,9.811171,,
9.733404,9.822388,,
9.673584,9.812128,,
10.090533,9.819487,,
9.564711,9.820742,,
9.979267,9.809018,,
9.786046,9.821192,,
9.640084,9.81476,,
10.099506,9.817572,,
9.598808,9.820742,,
9.940982,9.808538,,
9.857233,9.820443,,
9.606585,9.8159275,,
10.118649,9.816107,,
9.579665,9.822388,,
9.859626,9.809945,,
9.924232,9.822805,,
9.583255,9.819487,,
10.099506,9.817781,,
9.647263,9.824751,,
9.787841,9.811859,,
9.97149,9.822328,,
9.583255,9.820951,,
10.094122,9.814461,,
9.690333,9.82502,,
9.730413,9.813563,,
10.043275,9.822567,,
9.573684,9.822626,,
10.065409,9.813504,,
9.73819,9.824003,,
9.683155,9.814462,,
10.066605,9.82158,,
9.579067,9.823075,,
9.988838,9.810872,,
9.7908325,9.822806,,
9.630513,9.815448,,
10.104292,9.819217,,
9.584451,9.822626,,
9.917053,9.809706,,
9.857233,9.823285,,
9.597013,9.817094,,
10.113863,9.818708,,
9.613165,9.824989,,
9.850055,9.8120985,,
9.929018,9.82493,,
9.583255,9.822357,,
10.118649,9.819456,,
9.641879,9.827621,,
9.806984,9.8159275,,
10.009775,9.827592,,
9.559326,9.826216,,
10.098908,9.819008,,
9.70469,9.82789,,
9.731011,9.8161955,,
10.047462,9.82496,,
9.579067,9.825976,,
10.046266,9.815418,,
9.747761,9.825707,,
9.683155,9.815687,,
10.090533,9.822058,,
9.569496,9.825229,,
9.969695,9.813504,,
9.7908325,9.825438,,
9.616156,9.8187685,,
10.104292,9.821371,,
9.603594,9.823823,,
9.907482,9.810423,,
9.847662,9.822805,,
9.606585,9.817094,,
10.137193,9.817273,,
9.622736,9.824272,,
9.864411,9.81162,,
9.943375,9.823763,,
9.597611,9.82167,,
10.099506,9.818319,,
9.62812,9.82481,,
9.77827,9.813115,,
9.995419,9.824541,,
9.568898,9.822926,,
10.094122,9.815747,,
9.709476,9.8251095,,
9.716655,9.812936,,
10.033704,9.82146,,
9.574282,9.822238,,
10.0372925,9.813594,,
9.733404,9.825528,,
9.673584,9.816016,,
10.076176,9.822896,,
9.574282,9.82487,,
9.993624,9.811949,,
9.809975,9.823404,,
9.620942,9.816256,,
10.113863,9.819546,,
9.613165,9.8231945,,
9.926624,9.810244,,
9.866804,9.822626,,
9.58804,9.817871,,
10.133006,9.818529,,
9.608379,9.823374,,
9.835697,9.808808,,
9.938589,9.820204,,
9.573684,9.816914,,
10.099506,9.812816,,
9.647263,9.819785,,
9.77827,9.807134,,
9.981061,9.817842,,
9.578469,9.816705,,
10.089336,9.808779,,
9.671191,9.81814,,
9.702297,9.807403,,
10.037891,9.816405,,
9.555139,9.81814,,
10.031909,9.808779,,
9.752547,9.819994,,
9.673584,9.81144,,
10.080962,9.819277,,
9.565309,9.82173,,
9.974482,9.809077,,
9.795618,9.822447,,
9.620942,9.816256,,
10.118649,9.819546,,
9.608379,9.82487,,
9.912268,9.812188,,
9.87159,9.824572,,
9.6071825,9.818858,,
10.137792,9.819277,,
9.6275215,9.826486,,
9.836296,9.812876,,
9.938589,9.825707,,
9.578469,9.822657,,
10.103694,9.81808,,
9.661619,9.824572,,
9.77827,9.812159,,
10.000204,9.822626,,
9.559326,9.821012,,
10.089336,9.812846,,
9.709476,9.822896,,
9.702297,9.812607,,
10.052248,9.822806,,
9.559925,9.823824,,
10.027123,9.814252,,
9.73819,9.825707,,
9.664013,9.817123,,
10.080962,9.823763,,
9.57488,9.8266945,,
9.974482,9.813086,,
9.828519,9.82478,,
9.630513,9.818589,,
10.142577,9.820234,,
9.598808,9.82484,,
9.912268,9.811918,,
9.890733,9.824062,,
9.606585,9.818379,,
10.133006,9.818798,,
9.61795,9.825049,,
9.817153,9.810722,,
9.943375,9.822148,,
9.578469,9.819575,,
10.085149,9.814043,,
9.652048,9.822207,,
9.768699,9.8105135,,
9.981061,9.82167,,
9.550353,9.820293,,
10.089336,9.812607,,
9.699904,9.823165,,
9.687941,9.812636,,
10.057034,9.821639,,
9.579067,9.823853,,
10.031909,9.814491,,
9.762118,9.824989,,
9.6783695,9.816645,,
10.113863,9.8235235,,
9.579067,9.826665,,
9.979267,9.812816,,
9.829117,9.82496,,
9.606585,9.819246,,
10.123434,9.821131,,
9.622736,9.825499,,
9.897911,9.811859,,
9.862019,9.825199,,
9.601799,9.819487,,
10.118649,9.81826,,
9.613165,9.825499,,
9.812367,9.811649,,
9.942777,9.824003,,
9.573684,9.823105,,
10.094721,9.81805,,
9.666406,9.824541,,
9.759128,9.812128,,
10.028918,9.823554,,
9.564112,9.821251,,
10.089336,9.813803,,
9.723833,9.824601,,
9.702297,9.8152685,,
10.076176,9.823344,,
9.588638,9.824601,,
10.022338,9.814281,,
9.752547,9.825737,,
9.649655,9.818589,,
10.090533,9.823793,,
9.5557375,9.826724,,
9.969695,9.812846,,
9.829117,9.824511,,
9.625728,9.81808,,
10.104292,9.819008,,
9.598808,9.822417,,
9.88834,9.809048,,
9.895518,9.821909,,
9.616156,9.817662,,
10.133006,9.8159275,,
9.622736,9.823374,,
9.8117695,9.809526,,
9.957133,9.821161,,
9.573684,9.818828,,
10.094721,9.815209,,
9.656834,9.823374,,
9.75494,9.811918,,
10.009775,9.822836,,
9.564711,9.82173,,
10.055838,9.813086,,
9.70469,9.823614,,
9.692726,9.814073,,
10.061819,9.822388,,
9.579067,9.823404,,
10.031909,9.813325,,
9.762118,9.82478,,
9.659226,9.816645,,
10.113863,9.822328,,
9.594023,9.82502,,
9.960124,9.812098,,
9.833304,9.82472,,
9.620942,9.8187685,,
10.123434,9.820623,,
9.594023,9.823793,,
9.893126,9.809466,,
9.885947,9.823046,,
9.592228,9.81856,,
10.123434,9.817332,,
9.618548,9.823584,,
9.797412,9.810453,,
9.957133,9.822357,,
9.573684,9.820503,,
10.098908,9.815448,,
9.642477,9.824331,,
9.745368,9.81168,,
10.033704,9.821191,,
9.569496,9.819366,,
10.089336,9.810483,,
9.719048,9.82146,,
9.697512,9.812159,,
10.07139,9.819994,,
9.583853,9.82173,,
10.022338,9.810244,,
9.771689,9.822178,,
9.640084,9.815508,,
10.076176,9.821161,,
9.5557375,9.82481,,
9.945767,9.810244,,
9.83809,9.822626,,
9.61137,9.816675,,
10.113863,9.818529,,
9.608379,9.8238535,,
9.869197,9.809766,,
9.881161,9.821909,,
9.611969,9.817661,,
10.146765,9.816884,,
9.642477,9.825528,,
9.798011,9.811201,,
9.966704,9.822866,,
9.578469,9.821251,,
10.1084795,9.816914,,
9.690333,9.825079,,
9.740582,9.813623,,
10.014561,9.824092,,
9.555139,9.822477,,
10.060623,9.812666,,
9.728619,9.823644,,
9.659226,9.8152685,,
10.07139,9.823823,,
9.579067,9.825079,,
10.027123,9.812876,,
9.771689,9.823135,,
9.640084,9.815029,,
10.090533,9.820712,,
9.579665,9.82484,,
9.950553,9.811709,,
9.862019,9.823883,,
9.630513,9.820085,,
10.137792,9.821221,,
9.603594,9.826305,,
9.864411,9.811979,,
9.895518,9.824362,,
9.578469,9.8203535,,
10.12822,9.820055,,
9.6376915,9.828219,,
9.798011,9.815089,,
9.972089,9.826515,,
9.583255,9.823704,,
10.094122,9.817452,,
9.680762,9.826815,,
9.740582,9.816316,,
10.019346,9.8270235,,
9.559925,9.82804,,
10.084551,9.819396,,
9.742975,9.829685,,
9.687941,9.820383,,
10.090533,9.827711,,
9.574282,9.82825,,
10.012766,9.817003,,
9.7908325,9.828938,,
9.654441,9.82155,,
10.109675,9.827203,,
9.598808,9.83154,,
9.9553385,9.816943,,
9.843474,9.828848,,
9.611969,9.8238535,,
10.118649,9.824033,,
9.594023,9.829356,,
9.869197,9.8161955,,
9.919446,9.82834,,
9.592826,9.824092,,
10.132407,9.820443,,
9.646665,9.826455,,
9.792626,9.811649,,
9.981061,9.822567,,
9.58804,9.820921,,
10.094122,9.814909,,
9.680762,9.823793,,
9.749556,9.812577,,
10.033704,9.822058,,
9.569496,9.822357,,
10.036695,9.813265,,
9.719048,9.823315,,
9.659226,9.814013,,
10.061819,9.821131,,
9.579067,9.823584,,
9.998409,9.812816,,
9.771689,9.824751,,
9.64487,9.815957,,
10.109077,9.820173,,
9.598808,9.824271,,
9.950553,9.812307,,
9.847662,9.82517,,
9.606585,9.8216095,,
10.123434,9.823464,,
9.637094,9.828549,,
9.878768,9.815389,,
9.919446,9.828489,,
9.573684,9.8235235,,
10.118051,9.820623,,
9.65145,9.825917,,
9.797412,9.81183,,
9.976275,9.823255,,
9.58804,9.821161,,
10.098908,9.813713,,
9.680762,9.821849,,
9.735199,9.810154,,
10.033704,9.820593,,
9.5455675,9.821371,,
10.051051,9.81132,,
9.70469,9.8216095,,
9.668798,9.81159,,
10.076176,9.818469,,
9.564711,9.819008,,
9.974482,9.807283,,
9.799805,9.819935,,
9.64487,9.811859,,
10.12822,9.816555,,
9.589237,9.821878,,
9.917053,9.8082695,,
9.857233,9.822088,,
9.597013,9.816376,,
10.113863,9.816824,,
9.598808,9.822148,,
9.864411,9.808779,,
9.933804,9.820204,,
9.573684,9.816675,,
10.127622,9.812098,,
9.652048,9.8200245,,
9.778868,9.80833,,
9.981061,9.819994,,
9.554541,9.818619,,
10.085149,9.812128,,
9.671191,9.822417,,
9.707084,9.810483,,
10.028319,9.819246,,
9.574282,9.820264,,
10.036695,9.809975,,
9.747761,9.820951,,
9.683155,9.813295,,
10.090533,9.819935,,
9.569496,9.822866,,
9.984053,9.811111,,
9.804591,9.824242,,
9.625728,9.817332,,
10.109077,9.822298,,
9.594023,9.826635,,
9.921839,9.814222,,
9.87159,9.826126,,
9.625728,9.819935,,
10.113863,9.819876,,
9.613165,9.826156,,
9.850055,9.813025,,
9.933804,9.82493,,
9.568898,9.822357,,
10.127622,9.818499,,
9.661021,9.825707,,
9.788439,9.813773,,
9.985847,9.82472,,
9.559326,9.823344,,
10.089336,9.817093,,
9.695119,9.826455,,
9.72144,9.815239,,
10.042677,9.824242,,
9.574282,9.825258,,
10.031909,9.814252,,
9.73819,9.82502,,
9.683155,9.815687,,
10.090533,9.822567,,
9.598209,9.825737,,
9.988838,9.813534,,
9.800404,9.824511,,
9.625728,9.817123,,
10.113863,9.820683,,
9.589237,9.824572,,
9.907482,9.81144,,
9.876375,9.824302,,
9.601799,9.81814,,
10.123434,9.817871,,
9.622736,9.821999,,
9.845269,9.807432,,
9.91466,9.8200245,,
9.573684,9.818171,,
10.113863,9.815987,,
9.652048,9.823673,,
9.769297,9.811979,,
9.995419,9.822207,,
9.559925,9.82155,,
10.085149,9.81482,,
9.680762,9.823942,,
9.697512,9.812965,,
10.052248,9.823404,,
9.588638,9.823704,,
10.070194,9.812666,,
9.742975,9.823165,,
9.673584,9.815029,,
10.080962,9.820234,,
9.588638,9.823165,,
9.988838,9.810693,,
9.805189,9.824033,,
9.625728,9.81856,,
10.123434,9.8216095,,
9.579665,9.824541,,
9.893126,9.809496,,
9.862019,9.822597,,
9.606585,9.817362,,
10.099506,9.818021,,
9.618548,9.823823,,
9.835697,9.810453,,
9.947562,9.823046,,
9.58804,9.820234,,
10.113265,9.815658,,
9.647263,9.823584,,
9.769297,9.812607,,
10.00499,9.824511,,
9.568898,9.823374,,
10.094122,9.817123,,
9.70469,9.825499,,
9.72144,9.81476,,
10.057034,9.823793,,
9.569496,9.823374,,
10.031909,9.812128,,
9.73819,9.823344,,
9.673584,9.815448,,
10.100104,9.822088,,
9.583853,9.824541,,
9.974482,9.812098,,
9.786046,9.824511,,
9.620942,9.817602,,
10.12822,9.820414,,
9.579665,9.82478,,
9.88834,9.811171,,
9.87159,9.824511,,
9.61137,9.819516,,
10.137792,9.818739,,
9.61795,9.824062,,
9.845269,9.810214,,
9.952946,9.823315,,
9.583255,9.8200245,,
10.113265,9.815209,,
9.656834,9.824572,,
9.759726,9.813594,,
10.00499,9.824302,,
9.573684,9.822207,,
10.084551,9.814521,,
9.690333,9.825289,,
9.697512,9.814073,,
10.04806,9.821878,,
9.555139,9.822417,,
10.031909,9.811889,,
9.766904,9.822866,,
9.668798,9.814252,,
10.085748,9.820653,,
9.569496,9.823135,,
9.984053,9.810932,,
9.833304,9.823824,,
9.620942,9.817392,,
10.109077,9.820653,,
9.594023,9.825738,,
9.902697,9.812607,,
9.876375,9.824989,,
9.587442,9.820503,,
10.133006,9.820922,,
9.623335,9.82816,,
9.840483,9.81476,,
9.94816,9.826186,,
9.568898,9.823614,,
10.113265,9.819516,,
9.656834,9.8284,,
9.769297,9.816705,,
10.014561,9.827652,,
9.579067,9.827711,,
10.094122,9.819307,,
9.714262,9.828638,,
9.716056,9.817183,,
10.061819,9.825947,,
9.569496,9.826963,,
10.027123,9.815239,,
9.771689,9.826216,,
9.668798,9.817602,,
10.095319,9.823046,,
9.588638,9.82478,,
9.96491,9.812098,,
9.809975,9.82472,,
9.61137,9.817362,,
10.123434,9.819456,,
9.589237,9.824541,,
9.878768,9.811141,,
9.876375,9.823285,,
9.597013,9.819008,,
10.123434,9.81823,,
9.613763,9.823793,,
9.840483,9.810902,,
9.966704,9.823733,,
9.568898,9.820922,,
10.103694,9.81491,,
9.671191,9.823793,,
9.759128,9.812098,,
10.014561,9.823046,,
9.583255,9.821221,,
10.079765,9.813534,,
9.699904,9.824062,,
9.707084,9.813325,,
10.066605,9.821401,,
9.555139,9.823135,,
10.003195,9.812128,,
9.766904,9.823823,,
9.64487,9.815718,,
10.095319,9.821371,,
9.560523,9.823584,,
9.969695,9.809945,,
9.824331,9.821639,,
9.625728,9.814252,,
10.12822,9.817303,,
9.603594,9.823344,,
9.8835535,9.811411,,
9.905089,9.823075,,
9.597013,9.818828,,
10.127622,9.817811,,
9.6275215,9.825976,,
9.806984,9.812816,,
9.933804,9.825647,,
9.559326,9.823075,,
10.127622,9.817542,,
9.675977,9.826186,,
9.764511,9.814013,,
10.000204,9.824451,,
9.559925,9.823584,,
10.07498,9.814491,,
9.723833,9.823374,,
9.706485,9.812159,,
10.080962,9.82164,,
9.574282,9.8238535,,
10.017552,9.811171,,
9.776475,9.82143,,
9.640084,9.812128,,
10.113863,9.81805,,
9.579665,9.820982,,
9.945767,9.808061,,
9.805189,9.820443,,
9.582657,9.814521,,
10.123434,9.816136,,
9.603594,9.82146,,
9.873982,9.809017,,
9.881161,9.8216095,,
9.578469,9.817362,,
10.118649,9.816136,,
9.618548,9.822866,,
9.816555,9.810214,,
9.97149,9.823763,,
9.58804,9.823344,,
10.113265,9.81805,,
9.680762,9.8266945,,
9.768699,9.815,,
10.028319,9.825438,,
9.555139,9.825976,,
10.089336,9.817093,,
9.714262,9.827831,,
9.692726,9.817811,,
10.076176,9.826365,,
9.574282,9.827621,,
10.017552,9.815897,,
9.776475,9.827353,,
9.640084,9.819246,,
10.089935,9.824003,,
9.589237,9.82789,,
9.940982,9.813773,,
9.833304,9.826874,,
9.616156,9.821401,,
10.142577,9.823015,,
9.613165,9.827621,,
9.878768,9.813295,,
9.909875,9.825438,,
9.606585,9.822388,,
10.123434,9.82164,,
9.632906,9.828131,,
9.806984,9.8161955,,
9.976275,9.82834,,
9.583255,9.825049,,
10.1084795,9.818319,,
9.666406,9.827173,,
9.731011,9.815718,,
10.019346,9.825917,,
9.579067,9.82478,,
10.07498,9.815897,,
9.719048,9.826874,,
9.702297,9.817093,,
10.076176,9.825408,,
9.550353,9.826426,,
10.00798,9.813504,,
9.790234,9.825199,,
9.649655,9.818021,,
10.113863,9.822955,,
9.583853,9.825647,,
9.945767,9.812247,,
9.8524475,9.82487,,
9.61137,9.8182,,
10.142577,9.8190975,,
9.603594,9.825378,,
9.850055,9.811739,,
9.900304,9.82484,,
9.587442,9.820832,,
